Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Have you taken a probability and statistics course before?,Which of the following best describes your current feeling about EK381?,What is your preferred caffeine source?,At what age did you get your first smartphone?,"How many countries have you visited? (Please provide your answer as a number, not a list of countries.)","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Loved it! ]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Liked it.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Just OK.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Didn't like it.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Hated it!]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Never seen it.]",Optional: What was an aspect of a previous course that really helped you succeed?,How would you rate your understanding of Python programming?,Optional: Any suggestions for how we can make this a good semester?
9/1/2024 12:47:57,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Excited to learn about machine learning and data analysis.,Coffee,12,9,"Knives Out, Oppenheimer",Barbie,"Star Wars: A New Hope, To All The Boys I've Loved",Interstellar,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Inside Out 2, Jurassic Park, Back to the Future, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, Spider-Man: Into the Spiderverse, The Matrix",5 minute breaks at the middle of class,Beginner,
9/1/2024 12:48:14,CE,Programming algorithms,No,Excited to learn about machine learning and data analysis.,Energy Drink,11,5,"Barbie, Everything Everywhere All at Once",Encanto,,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune",Accessible office hours ,Competent,
9/1/2024 12:49:41,ME,Pen-and-paper math,No,Hoping to get a good grade.,Coffee,13,7,"Avengers: Endgame, Dune",Barbie,,,,"Booksmart, Deadpool and Wolverine, Die Hard, Encanto, Everything Everywhere All at Once","accessible TA and professor office hours, approachable staff and clear instructions",Beginner,
9/1/2024 12:55:31,ME,Programming algorithms,No,Just want to get through the semester.,Energy Drink,10,,,,,,,,,Beginner,
9/1/2024 12:58:14,BME,Pen-and-paper math,Yes,Excited to learn about machine learning and data analysis.,Coffee,10,12,Avengers: Endgame,"Barbie, Dune, Encanto",,,,"Booksmart, Deadpool and Wolverine, Die Hard, Everything Everywhere All at Once",,I have never used Python.,
9/1/2024 13:05:00,ME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Coffee,13,1,"Avengers: Endgame, Barbie","Booksmart, Dune, Encanto",,,,"Deadpool and Wolverine, Die Hard, Everything Everywhere All at Once",Going over and explaining notes in class rather than just reading through them and having a comfortable learning environment where I can learn without being scared of being called on.,Beginner,
9/1/2024 13:05:12,EE,Programming algorithms,Yes,Excited to learn about machine learning and data analysis.,Tea,17,"Ghana, Mexico, US, Nederlands","Avengers: Endgame, Deadpool and Wolverine, Dune",,"Barbie, Booksmart, Die Hard, Encanto, Everything Everywhere All at Once",,,,,Competent,
9/1/2024 13:10:32,EE,Pen-and-paper math,No,Just want to get through the semester.,I don't drink caffeinated drinks.,10,2,"Avengers: Endgame, Deadpool and Wolverine",Dune,,,,"Barbie, Booksmart, Die Hard, Encanto, Everything Everywhere All at Once",Transparency from the teaching staff.,Beginner,
9/1/2024 13:14:12,EE,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Coffee,14,9,,Dune,Barbie,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Encanto, Everything Everywhere All at Once",Good TA sessions.,Competent,
9/1/2024 13:22:42,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Energy Drink,10,10,"Encanto, Everything Everywhere All at Once",,Barbie,Dune,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard",consistent office hours visits,I have never used Python.,
9/1/2024 13:41:32,EE,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Tea,10,12,,,,,,,,Beginner,
9/1/2024 13:43:48,BME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Coffee,13,10,Encanto,,,"Avengers: Endgame, Barbie",,"Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once",Having videos or tutorials of the professor explaining how to work through the homework problems really helped me understand how to do them on my own. The videos were usually working through problems that were similar to the homework problems. ,Beginner,
9/1/2024 13:47:40,CE,Programming algorithms,No,Excited to learn about machine learning and data analysis.,I don't drink caffeinated drinks.,11,15,"Avengers: Endgame, Encanto, Get Out, Spider-Man: Into the Spiderverse, Star Wars: A New Hope","Die Hard, Jurassic Park, Back to the Future, My Neighbor Totoro, The Matrix",Knives Out,,,"Barbie, Booksmart, Deadpool and Wolverine, Dune, Everything Everywhere All at Once, Inside Out 2, Interstellar, Lady Bird, Mad Max: Fury Road, Oppenheimer, Poor Things, To All The Boys I've Loved",Professor posting class notes,Competent,
9/1/2024 13:48:52,ME,Pen-and-paper math,Yes,Hoping to get a good grade.,I don't drink caffeinated drinks.,12,1,"Avengers: Endgame, Encanto, Everything Everywhere All at Once, Inside Out 2, Interstellar, Oppenheimer, Spider-Man: Into the Spiderverse","Dune, Knives Out, Mad Max: Fury Road","Get Out, Jurassic Park, Back to the Future, Star Wars: A New Hope, The Matrix",,"Barbie, Deadpool and Wolverine","Booksmart, Die Hard, Lady Bird, My Neighbor Totoro, Poor Things, To All The Boys I've Loved",Good Grad Student TFs,Beginner,
9/1/2024 14:02:00,BME,"Collecting data (in a ""wet lab"" or other setting)",Yes,Excited to learn foundational probability/statistics concepts.,Coffee,9,3,My Neighbor Totoro,"Barbie, Encanto, Back to the Future",Jurassic Park,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out, Inside Out 2, Interstellar, Knives Out, Lady Bird, Mad Max: Fury Road, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",,Competent,
9/1/2024 14:02:07,BME,Programming algorithms,No,Hoping to get a good grade.,Coffee,12,5,"Barbie, Encanto, Knives Out, Mad Max: Fury Road, My Neighbor Totoro, Spider-Man: Into the Spiderverse",Oppenheimer,Interstellar,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out, Inside Out 2, Jurassic Park, Back to the Future, Lady Bird, Poor Things, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",Very clear and organized structure of the course on gradescope with current/ past/future assignments/readings/slides,Beginner,
9/1/2024 14:06:38,BME,Programming algorithms,Yes,Hoping to get a good grade.,I don't drink caffeinated drinks.,12,20,,,Barbie,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once","being interested in the course, and tutorials",Beginner,
9/1/2024 14:11:00,CE,Programming algorithms,Yes,Excited to learn about machine learning and data analysis.,I don't drink caffeinated drinks.,15,,"Avengers: Endgame, Barbie, Encanto, Inside Out 2, Knives Out, To All The Boys I've Loved",,,"Interstellar, Oppenheimer",,"Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out, Jurassic Park, Back to the Future, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix",,Competent,
9/1/2024 14:13:44,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Energy Drink,10,1,"Encanto, Everything Everywhere All at Once, Get Out, Lady Bird, My Neighbor Totoro, Oppenheimer, Spider-Man: Into the Spiderverse","Avengers: Endgame, Barbie, Booksmart, Deadpool and Wolverine, Interstellar, Jurassic Park, Back to the Future, The Matrix",To All The Boys I've Loved,,,"Die Hard, Dune, Inside Out 2, Knives Out, Mad Max: Fury Road, Poor Things, Star Wars: A New Hope",,I have never used Python.,
9/1/2024 14:14:05,CE,Pen-and-paper math,Yes,Hoping to get a good grade.,Soda,9,16,Knives Out,"Avengers: Endgame, Barbie, Everything Everywhere All at Once, My Neighbor Totoro, To All The Boys I've Loved",Jurassic Park,,,"Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Get Out, Inside Out 2, Interstellar, Back to the Future, Lady Bird, Mad Max: Fury Road, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix",Well-explained Professor ,Beginner,
9/1/2024 14:14:35,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Hoping to get a good grade.,Tea,12,2,Avengers: Endgame,"Barbie, Dune, Encanto",Die Hard,,,"Booksmart, Deadpool and Wolverine, Everything Everywhere All at Once",Group work and being able to collaborate with other students,Beginner,
9/1/2024 14:14:38,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Excited to learn foundational probability/statistics concepts.,Tea,9,7,"Barbie, Die Hard, Encanto","Avengers: Endgame, Dune",,,,"Booksmart, Deadpool and Wolverine, Everything Everywhere All at Once",quick answers to online questions through slack or otherwise,Beginner,
9/1/2024 14:18:08,ME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Tea,12,0,,Barbie,Encanto,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once",Starting from the ground up and explaining exactly how the concepts are related to one another and how they are similar.,Competent,
9/1/2024 14:50:08,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Excited to learn about machine learning and data analysis.,Coffee,12,27,"Barbie, Booksmart","Avengers: Endgame, Encanto","Dune, Everything Everywhere All at Once",,,"Deadpool and Wolverine, Die Hard","Taking time with harder concepts, accepting lots of questions, and having many avenues to collaborate and ask for help",Competent,
9/1/2024 14:52:43,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Energy Drink,13,Honestly lost count,"Avengers: Endgame, Oppenheimer, The Matrix","Die Hard, Dune, Encanto, Jurassic Park, Spider-Man: Into the Spiderverse, To All The Boys I've Loved",,,,"Barbie, Booksmart, Deadpool and Wolverine, Everything Everywhere All at Once, Get Out, Inside Out 2, Interstellar, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, Star Wars: A New Hope",Past papers,Beginner,
9/1/2024 15:11:18,ME,"Collecting data (in a ""wet lab"" or other setting)",No,Hoping to get a good grade.,I don't drink caffeinated drinks.,13,4,,"Back to the Future, Star Wars: A New Hope",,Avengers: Endgame,,"Barbie, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Inside Out 2, Interstellar, Jurassic Park, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, The Matrix, To All The Boys I've Loved",Helpful TAs in discussion sections,Competent,
9/1/2024 15:16:39,BME,"Collecting data (in a ""wet lab"" or other setting)",Yes,Hoping to get a good grade.,Coffee,11,5,"Avengers: Endgame, Dune, Encanto, Everything Everywhere All at Once","Barbie, Booksmart",,,,"Deadpool and Wolverine, Die Hard","Pictures/ Videos, Acronyms, Lots of Examples, Office Hours",Beginner,
9/1/2024 15:17:20,ME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Tea,12,3,"Get Out, Interstellar, Jurassic Park, Knives Out, Lady Bird","Die Hard, Encanto, Back to the Future, My Neighbor Totoro, Star Wars: A New Hope, The Matrix","Avengers: Endgame, To All The Boys I've Loved",,,"Barbie, Booksmart, Deadpool and Wolverine, Dune, Everything Everywhere All at Once, Inside Out 2, Mad Max: Fury Road, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse",Having good discussion sections!,Beginner,
9/1/2024 15:58:47,BME,"Collecting data (in a ""wet lab"" or other setting)",Yes,Hoping to get a good grade.,I don't drink caffeinated drinks.,16,4,Avengers: Endgame,"Dune, Encanto, Everything Everywhere All at Once",Barbie,,,"Booksmart, Deadpool and Wolverine, Die Hard",Lots of practice problems and practice exams to understand the type of questions to show up on exams,Competent,
9/1/2024 15:59:23,CE,Programming algorithms,Yes,Excited to learn about machine learning and data analysis.,Coffee,12,10,Dune,"Die Hard, Everything Everywhere All at Once",Avengers: Endgame,Barbie,,"Booksmart, Deadpool and Wolverine, Encanto",Helpful TAs,Competent,
9/1/2024 16:04:42,CE,Pen-and-paper math,No,Hoping to get a good grade.,Soda,9,9,"Avengers: Endgame, Barbie","Encanto, Everything Everywhere All at Once",,,,"Booksmart, Deadpool and Wolverine, Die Hard, Dune",office hours,I have never used Python.,
9/1/2024 16:06:04,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,10,21,Dune,"Avengers: Endgame, Everything Everywhere All at Once, Get Out, Jurassic Park, My Neighbor Totoro, Spider-Man: Into the Spiderverse","Back to the Future, Star Wars: A New Hope",,,"Barbie, Booksmart, Deadpool and Wolverine, Die Hard, Encanto, Inside Out 2, Interstellar, Knives Out, Lady Bird, Mad Max: Fury Road, Oppenheimer, Poor Things, The Matrix, To All The Boys I've Loved",The enthusiasm and depth of knowledge of the instructor,Competent,
9/1/2024 16:07:27,CE,Programming algorithms,Yes,Hoping to get a good grade.,I don't drink caffeinated drinks.,12,6,"Barbie, Everything Everywhere All at Once, Interstellar, Back to the Future, Knives Out","Dune, Jurassic Park, My Neighbor Totoro, Poor Things, The Matrix",,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Encanto, Get Out, Inside Out 2, Lady Bird, Mad Max: Fury Road, Oppenheimer, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, To All The Boys I've Loved",,Beginner,
9/1/2024 16:10:04,CE,Programming algorithms,No,Excited to learn about machine learning and data analysis.,Coffee,12,3,"Avengers: Endgame, Everything Everywhere All at Once","Barbie, Die Hard, Dune",Encanto,,,"Booksmart, Deadpool and Wolverine",,Beginner,
9/1/2024 16:11:00,ME,Pen-and-paper math,No,Hoping to get a good grade.,Coffee,9,1,"Avengers: Endgame, Dune, Interstellar, Spider-Man: Into the Spiderverse","Deadpool and Wolverine, Encanto, Everything Everywhere All at Once, Get Out, Oppenheimer",My Neighbor Totoro,,,"Barbie, Booksmart, Die Hard, Inside Out 2, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, Poor Things, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",Helpful lectures.,Competent,
9/1/2024 16:11:00,CE,Programming algorithms,No,Hoping to get a good grade.,Energy Drink,14,3,Spider-Man: Into the Spiderverse,"Avengers: Endgame, Dune, Encanto, Everything Everywhere All at Once",Barbie,,,"Booksmart, Deadpool and Wolverine, Die Hard, Get Out, Inside Out 2, Interstellar, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",Slides with info on it to study on our own,Beginner,
9/1/2024 16:47:33,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Hoping to get a good grade.,Energy Drink,10,9,Barbie,"Encanto, Everything Everywhere All at Once",,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune",office hours,I have never used Python.,
9/1/2024 16:50:10,ME,Programming algorithms,No,Hoping to get a good grade.,I don't drink caffeinated drinks.,14,9,"Avengers: Endgame, Deadpool and Wolverine",,,,,"Barbie, Booksmart, Die Hard, Dune, Encanto, Everything Everywhere All at Once",,Beginner,
9/1/2024 17:08:58,CE,Programming algorithms,No,Excited to learn about machine learning and data analysis.,Coffee,10,5,"Dune, Interstellar, Oppenheimer, Spider-Man: Into the Spiderverse, The Matrix","Avengers: Endgame, Deadpool and Wolverine, Encanto, Get Out, Inside Out 2, Jurassic Park, Back to the Future, Knives Out",,,,"Barbie, Booksmart, Die Hard, Everything Everywhere All at Once, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, Star Wars: A New Hope, To All The Boys I've Loved",Practice resources/questions for exams.,Competent,
9/1/2024 17:45:19,CE,Programming algorithms,Yes,Excited to learn about machine learning and data analysis.,I don't drink caffeinated drinks.,14,4,,Avengers: Endgame,Encanto,,,"Barbie, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once",,Competent,
9/1/2024 17:57:40,ME,Writing reports and making presentations,No,Excited to learn foundational probability/statistics concepts.,Coffee,14,16,"Interstellar, Back to the Future, Oppenheimer","Avengers: Endgame, Die Hard, Dune, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix","Encanto, Jurassic Park",,,"Barbie, Booksmart, Deadpool and Wolverine, Everything Everywhere All at Once, Get Out, Inside Out 2, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, To All The Boys I've Loved",A good community support system to ask questions when held up,I have never used Python.,
9/1/2024 18:32:24,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Coffee,14,9,"Barbie, Knives Out, My Neighbor Totoro, Spider-Man: Into the Spiderverse","Avengers: Endgame, Encanto, Inside Out 2, Star Wars: A New Hope, To All The Boys I've Loved","Back to the Future, Oppenheimer",,,"Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out, Interstellar, Jurassic Park, Lady Bird, Mad Max: Fury Road, Poor Things, The Matrix",In-class problem solving with both classmates and professors,Competent,
9/1/2024 18:33:27,EE,Pen-and-paper math,Yes,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,13,2,"Interstellar, My Neighbor Totoro",,"Barbie, Mad Max: Fury Road",Poor Things,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Inside Out 2, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Oppenheimer, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",,Beginner,
9/1/2024 18:41:52,BME,Pen-and-paper math,Yes,Excited to learn foundational probability/statistics concepts.,Coffee,14,3,"Inside Out 2, Back to the Future","Barbie, Encanto","Jurassic Park, To All The Boys I've Loved",,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out, Interstellar, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix",,Beginner,
9/1/2024 18:52:05,ME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Coffee,13,17,"Everything Everywhere All at Once, Interstellar, Spider-Man: Into the Spiderverse","Avengers: Endgame, Deadpool and Wolverine, Die Hard, Dune, Jurassic Park, My Neighbor Totoro, Oppenheimer, The Matrix","Back to the Future, Knives Out, Star Wars: A New Hope",,,"Barbie, Booksmart, Encanto, Get Out, Lady Bird, Mad Max: Fury Road, Poor Things, To All The Boys I've Loved",Probably having a lot of examples for coursework and someone around who goes through course related material step by step to help achieve a greater understanding,I have never used Python.,
